datum,C3
2014-01-12,21.3
2014-01-19,37.9
2014-01-26,45.9
2014-02-02,31.5
2014-02-09,20.7
2014-02-16,53.3
2014-02-23,47.3
2014-03-02,44.2
2014-03-09,40.355
2014-03-16,31.8
2014-03-23,36.2
2014-03-30,26.1
2014-04-06,36.2
2014-04-13,36.4
2014-04-20,21.2
2014-04-27,35.15
2014-05-04,22.0
2014-05-11,23.9
2014-05-18,29.6
2014-05-25,35.2
2014-06-01,33.7
2014-06-08,25.1
2014-06-15,33.9
2014-06-22,23.6
2014-06-29,26.1
2014-07-06,37.3
2014-07-13,30.0
2014-07-20,34.7
2014-07-27,20.5
2014-08-03,33.1
2014-08-10,23.2
2014-08-17,28.4
2014-08-24,34.7
2014-08-31,20.5
2014-09-07,29.0
2014-09-14,23.6
2014-09-21,22.4
2014-09-28,28.7
2014-10-05,31.1
2014-10-12,30.6
2014-10-19,33.1
2014-10-26,28.3375
2014-11-02,25.2
2014-11-09,34.1
2014-11-16,29.8
2014-11-23,31.3
2014-11-30,37.5
2014-12-07,39.6
2014-12-14,18.3
2014-12-21,30.4
2014-12-28,24.34
2015-01-04,27.784
2015-01-11,24.7
2015-01-18,32.9
2015-01-25,38.8
2015-02-01,32.2
2015-02-08,29.7
2015-02-15,31.6
2015-02-22,44.2
2015-03-01,20.63
2015-03-08,31.1
2015-03-15,23.7
2015-03-22,33.0
2015-03-29,24.3
2015-04-05,28.9
2015-04-12,42.1
2015-04-19,30.4
2015-04-26,32.0
2015-05-03,24.9
2015-05-10,23.94
2015-05-17,30.8
2015-05-24,39.5
2015-05-31,23.2
2015-06-07,32.5
2015-06-14,27.7
2015-06-21,30.5
2015-06-28,35.76
2015-07-05,41.5
2015-07-12,28.3
2015-07-19,24.2
2015-07-26,23.0
2015-08-02,27.8
2015-08-09,40.2
2015-08-16,31.7
2015-08-23,33.6
2015-08-30,29.0
2015-09-06,27.7
2015-09-13,25.3
2015-09-20,34.1
2015-09-27,23.9
2015-10-04,23.5
2015-10-11,22.0
2015-10-18,34.4
2015-10-25,35.9
2015-11-01,30.9
2015-11-08,35.6
2015-11-15,34.7
2015-11-22,42.4
2015-11-29,29.9
2015-12-06,28.3
2015-12-13,29.4
2015-12-20,40.2
2015-12-27,25.1
2016-01-03,26.5
2016-01-10,24.3
2016-01-17,41.3
2016-01-24,50.5
2016-01-31,39.7
2016-02-07,37.5
2016-02-14,34.6
2016-02-21,37.1
2016-02-28,24.6
2016-03-06,33.9
2016-03-13,33.8
2016-03-20,25.1
2016-03-27,32.9
2016-04-03,45.4
2016-04-10,30.2
2016-04-17,28.25
2016-04-24,31.5
2016-05-01,36.2
2016-05-08,36.75
2016-05-15,21.0
2016-05-22,33.75
2016-05-29,33.6
2016-06-05,34.6
2016-06-12,22.25
2016-06-19,25.0
2016-06-26,28.25
2016-07-03,32.65
2016-07-10,34.1
2016-07-17,27.05
2016-07-24,25.0
2016-07-31,38.3
2016-08-07,30.65
2016-08-14,32.4
2016-08-21,35.1
2016-08-28,27.0
2016-09-04,29.2
2016-09-11,25.5
2016-09-18,30.35
2016-09-25,20.9
2016-10-02,25.5
2016-10-09,34.35
2016-10-16,35.5
2016-10-23,38.2
2016-10-30,32.8
2016-11-06,39.75
2016-11-13,26.5
2016-11-20,37.3
2016-11-27,32.75
2016-12-04,30.95
2016-12-11,19.95
2016-12-18,37.75
2016-12-25,25.4
2017-01-01,19.1
2017-01-08,31.52916667
2017-01-15,33.54166667
2017-01-22,60.125
2017-01-29,41.5
2017-02-05,44.70833333
2017-02-12,40.70833333
2017-02-19,33.55
2017-02-26,11.75
2017-03-05,32.2
2017-03-12,34.6
2017-03-19,26.2
2017-03-26,19.2
2017-04-02,18.85
2017-04-09,29.0
2017-04-16,23.4
2017-04-23,18.4
2017-04-30,27.0
2017-05-07,25.7
2017-05-14,19.05
2017-05-21,31.95
2017-05-28,11.2
2017-06-04,23.85
2017-06-11,24.15
2017-06-18,27.25
2017-06-25,14.25
2017-07-02,22.1
2017-07-09,27.75
2017-07-16,22.1
2017-07-23,14.15
2017-07-30,21.5
2017-08-06,12.2
2017-08-13,13.25
2017-08-20,22.0
2017-08-27,24.15
2017-09-03,12.55
2017-09-10,27.7
2017-09-17,24.8
2017-09-24,24.65
2017-10-01,11.1
2017-10-08,17.6
2017-10-15,23.5
2017-10-22,14.5
2017-10-29,23.0
2017-11-05,30.4
2017-11-12,21.05
2017-11-19,27.45
2017-11-26,22.9
2017-12-03,20.5
2017-12-10,27.55
2017-12-17,29.5
2017-12-24,24.4
2017-12-31,22.6
2018-01-07,29.65
2018-01-14,11.45
2018-01-21,28.1
2018-01-28,22.5
2018-02-04,27.85
2018-02-11,26.55
2018-02-18,31.6
2018-02-25,28.7
2018-03-04,28.55
2018-03-11,33.2
2018-03-18,33.75
2018-03-25,19.65
2018-04-01,25.9
2018-04-08,20.3
2018-04-15,22.9
2018-04-22,23.5
2018-04-29,10.15
2018-05-06,25.05
2018-05-13,18.25
2018-05-20,25.15
2018-05-27,17.0
2018-06-03,24.15
2018-06-10,16.85
2018-06-17,17.45
2018-06-24,20.6
2018-07-01,20.75
2018-07-08,20.0
2018-07-15,21.75
2018-07-22,22.65
2018-07-29,16.3
2018-08-05,17.2
2018-08-12,18.3
2018-08-19,29.0
2018-08-26,16.4
2018-09-02,18.55
2018-09-09,19.5
2018-09-16,17.6
2018-09-23,19.25
2018-09-30,17.2
2018-10-07,27.25
2018-10-14,15.8
2018-10-21,20.65
2018-10-28,13.1
2018-11-04,20.15
2018-11-11,15.55
2018-11-18,34.55
2018-11-25,28.0
2018-12-02,23.4
2018-12-09,19.05
2018-12-16,15.7
2018-12-23,19.7
2018-12-30,13.8
2019-01-06,18.3
2019-01-13,23.55
2019-01-20,20.2
2019-01-27,27.95
2019-02-03,22.5
2019-02-10,30.65
2019-02-17,28.7
2019-02-24,31.8
2019-03-03,16.4
2019-03-10,20.85
2019-03-17,21.7
2019-03-24,20.2
2019-03-31,13.95
2019-04-07,20.0
2019-04-14,26.5
2019-04-21,14.5
2019-04-28,14.55
2019-05-05,21.95
2019-05-12,28.55
2019-05-19,22.2
2019-05-26,23.65
2019-06-02,24.35
2019-06-09,25.0
2019-06-16,28.8
2019-06-23,24.75
2019-06-30,20.5
2019-07-07,20.1
2019-07-14,19.0
2019-07-21,28.05
2019-07-28,17.45
2019-08-04,19.3
2019-08-11,21.3
2019-08-18,21.3
2019-08-25,13.55
2019-09-01,17.05
2019-09-08,25.0
2019-09-15,15.75
2019-09-22,19.65
2019-09-29,30.5
2019-10-06,30.5
2019-10-13,38.0
2019-10-20,43.1
2019-10-27,35.09
2019-11-03,38.0
2019-11-10,32.681
2019-11-17,48.17
2019-11-24,34.9
2019-12-01,44.0
2019-12-08,55.67
2019-12-15,58.9
2019-12-22,43.5
2019-12-29,14.1
2020-01-05,27.75
2020-01-12,36.31
2020-01-19,36.76
2020-01-26,31.2
2020-02-02,20.7
2020-02-09,35.7
2020-02-16,48.0
2020-02-23,25.3
2020-03-01,47.8
2020-03-08,42.4
2020-03-15,58.8
2020-03-22,57.2
2020-03-29,34.0
2020-04-05,34.18
2020-04-12,22.8
2020-04-19,47.31
2020-04-26,20.6
2020-05-03,42.3
2020-05-10,46.04
2020-05-17,48.0
2020-05-24,50.3
2020-05-31,29.7
2020-06-07,27.0
2020-06-14,32.65
2020-06-21,54.66
2020-06-28,23.6
2020-07-05,34.3
2020-07-12,44.63
2020-07-19,30.18
2020-07-26,30.7
2020-08-02,53.3
2020-08-09,51.3
2020-08-16,51.383
2020-08-23,55.0
2020-08-30,51.4
2020-09-06,30.9
