datum,C5
2014-01-12,41.0
2014-01-19,88.0
2014-01-26,80.0
2014-02-02,80.0
2014-02-09,81.0
2014-02-16,98.0
2014-02-23,89.0
2014-03-02,99.0
2014-03-09,52.0
2014-03-16,48.0
2014-03-23,90.0
2014-03-30,36.0
2014-04-06,42.0
2014-04-13,31.0
2014-04-20,46.0
2014-04-27,59.0
2014-05-04,54.0
2014-05-11,49.0
2014-05-18,69.0
2014-05-25,56.0
2014-06-01,56.0
2014-06-08,69.0
2014-06-15,64.0
2014-06-22,87.0
2014-06-29,66.0
2014-07-06,96.0
2014-07-13,64.0
2014-07-20,83.0
2014-07-27,84.0
2014-08-03,77.0
2014-08-10,80.0
2014-08-17,83.0
2014-08-24,99.0
2014-08-31,92.0
2014-09-07,112.0
2014-09-14,109.0
2014-09-21,104.0
2014-09-28,69.0
2014-10-05,95.0
2014-10-12,73.0
2014-10-19,103.0
2014-10-26,96.0625
2014-11-02,95.0
2014-11-09,112.5
2014-11-16,152.0
2014-11-23,110.0
2014-11-30,105.5
2014-12-07,96.0
2014-12-14,114.0
2014-12-21,109.0
2014-12-28,78.0
2015-01-04,154.0
2015-01-11,65.0
2015-01-18,98.0
2015-01-25,115.0
2015-02-01,128.0
2015-02-08,101.0
2015-02-15,74.0
2015-02-22,77.0
2015-03-01,34.0
2015-03-08,54.0
2015-03-15,39.0
2015-03-22,53.0
2015-03-29,55.0
2015-04-05,49.0
2015-04-12,42.0
2015-04-19,45.0
2015-04-26,42.0
2015-05-03,46.0
2015-05-10,40.0
2015-05-17,48.0
2015-05-24,34.0
2015-05-31,54.0
2015-06-07,44.0
2015-06-14,54.0
2015-06-21,55.0
2015-06-28,52.0
2015-07-05,29.0
2015-07-12,66.0
2015-07-19,52.0
2015-07-26,26.0
2015-08-02,44.0
2015-08-09,65.0
2015-08-16,42.0
2015-08-23,64.0
2015-08-30,65.0
2015-09-06,62.0
2015-09-13,66.5
2015-09-20,56.0
2015-09-27,56.5
2015-10-04,50.0
2015-10-11,41.0
2015-10-18,73.5
2015-10-25,41.5
2015-11-01,42.0
2015-11-08,59.0
2015-11-15,60.0
2015-11-22,52.0
2015-11-29,55.0
2015-12-06,45.0
2015-12-13,54.0
2015-12-20,58.0
2015-12-27,47.0
2016-01-03,75.0
2016-01-10,58.0
2016-01-17,48.0
2016-01-24,82.0
2016-01-31,65.0
2016-02-07,52.0
2016-02-14,39.0
2016-02-21,71.0
2016-02-28,52.0
2016-03-06,64.0
2016-03-13,55.0
2016-03-20,41.0
2016-03-27,67.0
2016-04-03,72.0
2016-04-10,41.0
2016-04-17,35.0
2016-04-24,80.33333333
2016-05-01,54.0
2016-05-08,109.6666667
2016-05-15,54.0
2016-05-22,56.0
2016-05-29,61.0
2016-06-05,78.0
2016-06-12,50.0
2016-06-19,58.0
2016-06-26,60.0
2016-07-03,71.0
2016-07-10,61.5
2016-07-17,64.0
2016-07-24,50.0
2016-07-31,42.0
2016-08-07,70.0
2016-08-14,111.5
2016-08-21,84.0
2016-08-28,45.0
2016-09-04,24.0
2016-09-11,53.0
2016-09-18,72.0
2016-09-25,93.0
2016-10-02,67.0
2016-10-09,44.0
2016-10-16,30.0
2016-10-23,134.8333333
2016-10-30,41.0
2016-11-06,68.0
2016-11-13,54.0
2016-11-20,67.16666667
2016-11-27,50.0
2016-12-04,45.0
2016-12-11,52.0
2016-12-18,37.0
2016-12-25,88.33333333
2017-01-01,28.0
2017-01-08,53.75
2017-01-15,62.91666667
2017-01-22,120.0
2017-01-29,115.8333333
2017-02-05,105.8333333
2017-02-12,79.33333333
2017-02-19,39.0
2017-02-26,18.0
2017-03-05,49.875
2017-03-12,53.0
2017-03-19,31.0
2017-03-26,35.0
2017-04-02,36.0
2017-04-09,39.0
2017-04-16,34.0
2017-04-23,21.0
2017-04-30,38.0
2017-05-07,33.0
2017-05-14,30.0
2017-05-21,36.0
2017-05-28,32.0
2017-06-04,37.0
2017-06-11,38.0
2017-06-18,37.0
2017-06-25,40.0
2017-07-02,31.0
2017-07-09,41.0
2017-07-16,63.0
2017-07-23,41.0
2017-07-30,43.0
2017-08-06,52.0
2017-08-13,41.0
2017-08-20,66.0
2017-08-27,56.0
2017-09-03,60.0
2017-09-10,48.0
2017-09-17,44.0
2017-09-24,73.0
